"","cluster","SLC16A7+","Ionocytes","Brush+PNEC","FOXJ1hi/TUBB4Blo","Ciliated","Secretory","Basal"
"1","KRT6A",7.92144825053578,1.05425946993782,3.43793758131704,0.948716875868507,1.80696530046804,3.40788268383842,147.843201839608
"2","IGFBP6",5.15173810937347,5.15173810937347,5.15173810937347,5.15173810937347,7.87862332148606,6.03536784924062,144.051667680697
"3","KRT16",2.80089430129184,2.80089430129184,2.80089430129184,2.80089430129184,3.83576221400228,5.16641811865801,190.257950911116
"4","LGALS7",13.7812897020209,2.29037207013815,4.97199257141217,2.29037207013815,5.14139289590539,3.96025618830511,181.700075307919
"5","KRT5",4.50682142434495,1.79796896294349,5.60319400450995,1.25632495587005,1.00860923217135,2.76742775015435,132.818421950827
"6","KRT14",13.2466782197975,1.59483297458878,2.61547382151424,1.59483297458878,2.97184752476726,2.08269769686781,154.320350744525
"7","SPRR1B",6.02831227924808,2.99384528221105,1.97329980710926,2.68977049756253,2.26170467277365,3.5238617170666,181.523614055553
"8","KRT13",2.47567840380683,1.49673806995706,1.77690584678531,1.40144823687485,1.38224237319309,1.99040162327642,168.790448364943
"9","LGALS7B",16.4596819772058,2.73550565288676,5.93829883036805,2.73550565288676,5.81786800637559,4.72993158239788,179.569720917416
"10","LYPD3",3.76611938859658,15.1482500359508,24.8024924025354,3.76611938859658,5.46038333989132,7.75743328671729,158.511893984844
"11","KRT17",21.6470004588394,4.54028725616853,8.77070916674684,5.72262042631792,4.15321937795139,7.99104332280472,155.089148170979
"12","PKP1",11.6588914745198,2.60338509526271,12.15383048515,16.6356637839159,5.21902710657304,6.10814982960776,114.067469157682
"13","S100A2",3.15915462574852,1.01735898658228,7.37721277082898,3.17640487281947,1.95329745376506,2.83915017000596,134.583958941511
"14","DSC3",17.1060411532218,4.36647405983503,7.13978939324142,18.2946209811589,10.494810419207,17.0586889312148,133.702288376556
"15","IL1RN",3.92842153127697,3.92842153127697,9.53159286208981,3.92842153127697,7.7519671313155,10.1957521631654,171.6409412017
"16","SPRR1A",17.7243211445362,17.7243211445362,29.0673059162191,17.7243211445362,17.7243211445362,17.7243211445362,168.382858270234
"17","COL17A1",5.71271874703195,5.71271874703195,15.8309348721894,5.71271874703195,15.3361119717084,9.50915513370628,139.088209600177
"18","KRT15",4.99452449590684,27.4503460401993,11.1589192151198,1.96104772895615,4.36136708819622,6.76028676311539,102.416064597757
"19","C10orf99",18.3909039431898,18.3909039431898,18.3909039431898,18.3909039431898,20.0738274506353,18.3909039431898,126.649737524993
"20","S100A8",3.65843198067375,1.70018879513226,5.13887811825055,13.4337208526358,3.36497253826095,32.7705434098909,198.209338141375
"21","TP63",8.39137021431203,8.39137021431203,25.5231901457989,8.39137021431203,13.3711992458666,8.39137021431203,125.059178329428
"22","DAPL1",7.66506403081655,49.1339687273302,39.424407985935,23.5643878864825,10.4702922392689,11.21777195844,109.585040300803
"23","PLP2",8.32281556702282,32.5312190322755,21.6355978961904,9.96180323189025,24.9471335136838,15.0041935234799,103.010928318482
"24","LY6D",11.6025985048365,13.2780626964678,10.2190923566335,10.9289366750774,18.3264377504948,39.5635397666965,201.734427286604
"25","KRT6C",16.7957422839118,16.7957422839118,16.7957422839118,16.7957422839118,16.7957422839118,16.7957422839118,140.258512455526
"26","CLCA4",20.6734393338683,25.3053935097436,6.56620992729128,6.56620992729128,7.47510931141145,19.8873488316379,160.788603204269
"27","SERPINB13",35.5584532199728,16.7484753862698,14.4535360507177,15.6414623019885,37.5099636066872,8.86335953730805,101.672145629646
"28","SFN",23.5305557263172,13.395439086553,9.10722327921171,24.5326392679348,33.1633253210069,11.1896578931109,145.463865998464
"29","POLR2J3",16.6801359597477,2.12755915736861,35.7919468298657,11.2217649789903,8.77760746572878,15.9718354085587,167.884401326447
"30","UPK3BL",10.5088855266994,1.69384117136523,36.9341549555504,14.55048983154,6.9090427497545,13.9596596384707,168.840816392112
"31","CLCA2",23.6521750433412,26.2229289587229,7.37378508385021,7.37378508385021,13.4664004299855,9.8947706178115,109.299080775017
"32","GPX2",21.6081871005504,7.46926046146442,24.1775770990177,31.5202021843663,36.3784957383156,11.2153711956154,116.673962497053
"33","CSTA",5.54851063373852,8.30476014783999,11.9969170156945,14.6666518260023,6.22044473005994,8.42334972290593,123.416059930572
"34","SERPINB5",16.0269360842864,4.16103811802726,13.9047171205498,12.7921066059494,39.0860360272179,9.76915424718531,116.92967722752
"35","TUBB6",31.1008480742971,11.2905872820125,40.0341739018808,11.2905872820125,24.0569158878903,12.851177218184,120.974331307122
"36","CAV1",5.69219255281333,20.275592206465,9.33500927439772,17.4992710693313,12.7675278761178,16.9495996959675,129.380995498394
"37","ITGA6",24.0139446119822,41.0907267999787,54.9861537708572,9.9603129502061,14.1316388938749,14.1512431167314,124.075214881443
"38","FAT2",21.9194746728002,11.6025828649474,18.9718287428658,11.6025828649474,28.556608520688,23.4362609309168,114.853608078007
"39","DUSP7",16.3564433617364,16.3564433617364,16.3564433617364,16.3564433617364,28.1207400983668,36.7006248943233,135.562183592945
"40","HSPB1",13.9057824241981,40.3182030281502,12.0134084033775,24.3695441515585,32.5231539259082,18.4257674033103,135.526209604454
"41","SPINK5",6.74695155761672,23.993760242731,6.74695155761672,28.4720660527762,8.78013209027597,18.851746477076,129.24109050079
"42","SERPINB1",17.1556230141938,1.36697569181317,8.63014412552351,14.4059137779208,22.2933198484698,19.8057020099133,124.675847444305
"43","ANXA8",28.8188056124036,1.85856337663858,3.04798303940054,1.85856337663858,37.5859277829439,5.06542952244303,118.794784315655
"44","ANXA8L1",28.8188056124036,1.85856337663858,3.04798303940054,1.85856337663858,37.748061381065,5.06542952244303,118.794784315655
"45","GPNMB",6.72878187662927,6.72878187662927,15.7977099544627,6.72878187662927,8.08135621488971,6.72878187662927,19.6117257496836
"46","LAD1",7.19323144343235,39.1575571128278,39.7185037704876,3.39662972626435,10.2640347343184,22.6503796669278,141.74818239707
"47","MT1X",3.46289962109028,10.0789702885743,4.61929971223989,8.01333134113913,4.1241449984899,21.1954871726234,54.9065958478194
"48","PVRL1",10.1172453103864,15.3722479220496,28.6892066970014,7.97066741464735,7.27896026152966,19.5097844008744,130.959871168124
"49","KRT4",7.87092127415513,3.19282980060218,17.589446458295,8.51493296818544,6.76553023703913,36.5885860840022,205.428272684181
"50","THBD",15.9900129708967,15.9900129708967,15.9900129708967,15.9900129708967,18.6522107751722,21.4805527316349,136.982623934545
"51","CXCL6",2.47723664508299,2.47723664508299,2.47723664508299,20.2608529883338,4.15199137051771,69.5352152343347,2.89744342832025
"52","MSMB",1.58457603340148,1.12247117798962,1.12247117798962,11.8977174622413,2.09923374502204,52.6082880376331,2.11945276075814
"53","RARRES1",10.6967692258724,6.65357850499205,1.08666208515265,37.6007187709531,11.917048603603,147.276179982856,1.74288715673327
"54","PI3",2.44159168437938,12.2786134747349,2.76968221691223,38.8642551096858,1.84185417590777,190.625531864134,2.29696782641804
"55","TGM2",9.66707818984528,2.57388430768235,2.57388430768235,15.05548157649,9.66247894993313,92.1580270085698,3.78953310696303
"56","SERPINA3",1.60662911493285,1.07219413847309,3.92909298865453,44.8067638376547,1.65370134142219,143.447615549572,2.51292794455153
"57","CXCL8",12.0085970602822,3.04274475235489,10.4373805848495,3.04274475235489,4.46282989989815,119.74639094021,8.19344029635713
"58","CXCL1",3.72573616411208,9.68007492839484,5.2411420561722,3.89972019931906,2.0426299615503,103.321553642689,6.66367933441268
"59","ANPEP",10.6423320451918,10.6423320451918,10.6423320451918,10.6423320451918,11.4691206555041,121.735786191334,10.6423320451918
"60","CEACAM6",2.96871298689345,11.7465160375255,10.5661630605193,18.2241331802262,3.50021153871565,91.4738894437583,5.14827286626037
"61","UBD",4.27098714142988,4.27098714142988,4.27098714142988,46.7979924329751,5.81917188665782,52.0406487307269,4.27098714142988
"62","IL1R1",14.1542841030696,30.8298312527616,13.6709771291029,18.5471504229754,14.9423911299202,122.89445870982,10.0247268862025
"63","CXCL2",9.97827910714799,9.97827910714799,9.97827910714799,9.97827910714799,10.7079201544986,110.490175084488,13.1147962545909
"64","CILP",3.244923487032,3.244923487032,3.244923487032,3.244923487032,3.79454705549435,40.948632808215,4.4682537934204
"65","SERPINB7",22.6837814718226,13.3699726145766,13.3699726145766,13.3699726145766,15.0402552117284,78.1519298592673,37.4152467353656
"66","HLA-DRB5",8.16576354285425,7.28925546147036,7.37596668867412,59.14922323729,30.3927901202212,92.9391255872925,2.94913936147384
"67","HLA-DQA2",9.6929828436388,9.6929828436388,17.3150500321572,41.8645877546508,12.6479918841437,38.1812842080581,10.6141886572949
"68","STEAP4",11.2021501321854,3.4923742700363,3.4923742700363,59.4007672544715,13.9161393557733,121.536633166805,11.3370902707723
"69","PDZK1IP1",11.2188235258685,24.1317844623723,4.47921388581007,34.2127854335552,20.7042331272566,129.601712961385,9.82816216783649
"70","HLA-DQA1",12.6547468772946,3.92902058845868,6.79884601024462,84.8365303319148,27.040842191786,89.2519385627326,6.71535831883841
"71","IFITM1",14.7135650790024,10.3970251395945,4.78685530444402,61.7963388670086,18.0654673201769,82.9063400718412,10.2558328167416
"72","CAPN13",16.5298178869851,43.9881712140877,15.5884247583916,31.0287664556907,7.63631895959246,147.950908334244,7.18414576722718
"73","VMO1",14.276085352683,2.52801591610549,4.02938502117151,78.6309423451919,7.76685280185729,152.436335399899,4.29604244544525
"74","HLA-DRB6",10.6651325703607,42.8977624372631,10.6651325703607,50.4864887097103,15.7704185309608,32.3968133707958,10.6651325703607
"75","MUC5B",4.4734478907226,10.2699175797334,3.45569332012268,111.211494260322,2.93390346879365,213.672834219531,1.18840985422416
"76","XBP1",8.94975665743275,25.345624998986,7.93910810643074,41.1110619937517,9.18601255358579,96.4967130487915,6.38929609244557
"77","KNCN",10.997875067532,44.2361338548024,10.997875067532,10.997875067532,16.7074734569307,41.4001503926111,12.8150766075198
"78","PIGR",22.726806408465,4.01738630278087,2.50675030899921,52.0345937717014,20.8496232404767,82.5802525842548,0.908239692195176
"79","PGLYRP4",28.0421383516622,19.8642989704762,19.8642989704762,19.8642989704762,25.920564302935,61.8993241203877,39.4029100260341
"80","PLK2",6.37284964052158,25.5515844194565,50.1059436828468,14.6241904974662,8.41391882791379,85.6880361580176,16.8489211315356
"81","PRSS23",28.1926751685573,7.03731856328611,9.07114273311251,61.5161103397647,39.5983683015604,135.202705674186,14.2575771467663
"82","CX3CL1",8.98225267243315,23.903038203118,3.90384291938473,18.9717033864216,14.6174127389865,119.707904761566,5.10059646761239
"83","CD74",17.8185576033213,9.38528459792297,5.35208979982509,68.6746679198196,49.1525018707071,92.7465656895621,3.38613749982972
"84","HLA-DMB",43.6531520693063,11.3251468044015,11.3251468044015,106.787614216744,39.2437858210465,113.524496066632,13.2462000545272
"85","SLC6A14",23.2937333651207,3.27605738691436,13.5406001250833,51.0220010422186,14.5573591296784,115.700815001863,32.3008326376701
"86","SCGB1A1",1.08897476243171,2.89791303752844,2.65845679623768,12.6115358728729,1.04444129805343,40.4057447562692,2.07338275479047
"87","CFB",32.4756509595296,13.1345965425818,3.12726320351641,107.254395773897,27.6317004051994,180.1979162252,3.41656766019321
"88","HLA-DRB1",22.9152764226003,4.52821007880369,7.34193915112215,87.3364734840406,45.9247895402129,103.706785446171,3.68378843806045
"89","IFITM3",27.2679334101038,22.1099367578402,13.5833217370771,72.5188015834503,38.7687148250079,127.316544768757,37.6825474201453
"90","AMOTL2",59.8955245747806,8.07687449896147,17.5755038372829,49.3512079854162,28.9521376492125,85.4291270591452,20.4980727419874
"91","C3",17.7469164696921,7.72413303567624,5.00745544771837,69.8363367527816,10.9368868467155,119.142856088583,2.74929975361617
"92","CTSC",6.83592090766409,3.7452330132259,26.5900199833074,51.0798765182324,5.10160074604292,87.2059404044084,29.4941039284178
"93","CA13",64.8086785543506,17.1934435571447,17.1934435571447,17.1934435571447,41.4866183114107,126.80591414659,33.0802239307436
"94","CFH",32.5222660099707,8.74937761467854,20.8459746764877,42.5197940463341,48.01381698787,101.900938080886,39.7139477287629
"95","SLC26A2",46.6699899522659,126.441300327715,11.0394941055097,72.2646309275873,22.3726359697356,148.58604452197,51.6331733645553
"96","CREB3L1",8.97721995929472,34.5971399344509,39.6107306089542,8.97721995929472,11.7101137845403,115.384493951983,13.1491860082825
"97","LYPD2",28.0388663064279,3.31463558841199,3.31463558841199,70.6981806190419,23.0914211168158,174.857060333099,6.88481419605907
"98","HLA-DPB1",21.4395440034541,26.2558635928517,7.3711006657186,105.231642545218,45.524484966596,91.514105808827,7.3711006657186
"99","HLA-DRA",12.9998440610852,6.98608060558622,4.11189646204347,73.7827362796038,32.7699014699535,78.6355424523588,2.80172560586772
"100","PODXL",22.7250545738651,9.15945539254455,18.9245414205457,55.9659789400876,39.9705013026688,73.8206346294158,14.0229008219392
"101","C12orf75",25.1317892955372,36.9068720843867,3.15376454886232,3.15376454886232,109.092396873036,8.4714177934885,9.71724555717244
"102","C1orf189",41.7313564066949,8.12242385394187,8.12242385394187,36.1501114106771,93.5982360690743,15.1627157094846,11.6269073565546
"103","C20orf85",28.6985312604169,6.82900855860873,1.73410416554671,3.55690345666378,95.8462158833675,3.11533660581673,2.82900146233803
"104","CTGF",29.9080659490913,7.51423734833554,4.29907981561491,1.22722484136136,101.837094552803,3.06889742794416,2.50017794421935
"105","C10orf107",28.5558028750303,6.27084385949366,6.27084385949366,6.27084385949366,102.131883797534,6.27084385949366,9.0373145304089
"106","C9orf24",38.5357283630162,2.49659924887638,3.16693103780892,3.24261257001944,99.9823666478329,3.93181807226306,3.15798012412108
"107","C1orf194",36.5297274296087,1.19214357502203,2.88676062007866,5.3058205074652,94.7779440217058,4.70355827014423,2.81898330483261
"108","ROPN1L",42.9712479087687,7.10949454449094,4.51466374470167,13.5374154535664,86.966943917788,4.65793901049699,3.02303466930829
"109","VIM",30.5283934808388,25.5411138072279,11.1822974486269,4.17137333933308,98.8930434878489,14.9934443569355,4.98722887896978
"110","RIIAD1",46.3030618752118,7.11955900297016,28.9781643807682,45.5176176979288,108.150263007833,10.6431520728061,8.94795470876858
"111","PIFO",36.5346327759138,4.6108990011283,1.14634998008335,7.18079487215948,88.1418436321776,2.77114671328123,3.43728179781303
"112","CETN2",31.0783452201857,5.28861968540786,4.55097736694433,22.0679117111429,101.270811420397,6.96284475568809,5.61869334883778
"113","TUBA1A",48.0775758222925,4.90452115958122,17.3042313955464,10.9678697798141,93.5764388410057,2.86395091468276,2.97741187729141
"114","CAPS",40.58450163244,1.27488465065147,4.07874027522278,17.2403191809123,100.837509717746,3.02237152623281,3.25704979249417
"115","C11orf88",40.0247661403736,3.44955498113136,3.44955498113136,33.5114150274353,112.045740877391,4.58523835855288,5.01716116275901
"116","CRIP1",35.4580706017836,4.50959475503317,5.07021864722337,11.102358539075,118.234522972072,3.89676600890551,2.14421504987778
"117","TCTEX1D2",22.6703478067596,3.14488905356542,11.2336567339219,19.6997457859344,91.0937242544642,7.24838902665209,6.67948554306503
"118","PACRG",53.9866456093617,54.4720784890892,5.18213875316628,5.18213875316628,91.2717829459552,6.1418562817406,6.06136587862104
"119","C15orf26",43.7174634826861,8.69728734415291,8.69728734415291,64.1823740692113,92.0774172802506,10.5379869740258,14.6138477271561
"120","IGFBP7",55.6374521103572,11.2301640437626,2.71221969215149,0.787079453275998,105.68226044052,0.924216838742297,4.86224190658682
"121","NHLRC4",52.8949167191784,15.5057517471037,4.52496330232457,14.4808781589243,96.0877418185176,8.80386816748974,5.67991862539266
"122","C2orf40",24.6551894084083,12.3947252251389,12.3947252251389,12.3947252251389,109.669502021315,13.692774832274,13.3872608415127
"123","UFC1",27.6258008397303,1.46303326103352,38.5324346707864,24.0082535158029,98.4490049184684,19.3869577750201,15.5893564876514
"124","C5orf49",49.6052440224282,22.6978132177276,3.70700563930759,16.4986054988921,94.1766067677813,4.32111533720775,8.14259123581747
"125","HBB",37.5810689414413,7.42438070360723,7.42438070360723,7.42438070360723,108.967485344791,12.1321855374481,8.01223906611348
"126","IFT46",44.8456182388112,4.89189188182973,23.7599389272064,21.7721261186473,105.254095042707,16.7620112779609,15.27614494366
"127","CYSTM1",17.7373153897461,13.2998805126822,14.2644639971769,14.4820566818531,102.561230403109,19.5566076920545,13.0500170853426
"128","FAM216B",26.9872041359554,16.796513690521,2.74790739199223,2.74790739199223,88.6438085092963,8.01701881263221,4.35175479483353
"129","C9orf116",29.7913810454572,1.03906697456308,6.78139589016375,13.519817402571,93.4893301715001,4.25193571220828,3.48523102608383
"130","MSRB1",35.8385369499197,7.89520860485084,19.1181479859658,7.89520860485084,100.564384870365,29.8156431976442,24.9437128104592
"131","C9orf171",56.4511238443502,16.3118091164468,4.76019085370901,4.76019085370901,88.3290419858176,8.08113143245593,5.95218084468903
"132","C14orf142",30.0281261263709,4.98534658390802,29.5054693318928,22.1880608140944,85.302092396151,9.92978018823406,5.9739030891541
"133","FAM81B",35.0971789672874,3.60013330450574,3.60013330450574,16.0229535408954,95.4336578572429,10.4572094022224,4.37117726457701
"134","SNTN",49.1498069039058,18.2510724241433,2.32983836887049,0.842296618438465,102.125435646792,2.23303898868034,3.56392724322266
"135","CARS",24.4298727947653,19.8092955107632,23.3727238607128,12.7550076897365,90.7344943880701,14.1496865684926,12.1780444406878
"136","CKB",44.8649358032381,1.11060039342381,14.3821072880341,19.6484800350174,97.6431038432157,5.35115274995242,9.06937806402992
"137","B9D1",46.1572320506773,10.339614202224,10.339614202224,50.2479474265175,98.9189308392547,16.5846605286807,17.894596190397
"138","WDR54",42.0527975639936,11.955541688491,14.0895151309291,3.4889238704559,92.6574300969888,7.03852476069338,7.22263969085999
"139","C9orf135",54.6420031968137,6.65570811074478,20.2374369823859,27.886037012642,104.096804504775,8.76934257527722,9.5428253238575
"140","ANKRD37",46.1811249672925,8.19351079748933,30.7564312850449,8.19351079748933,88.4045879393402,13.3090740100317,8.83159692303714
"141","DYNLRB2",29.1043789683648,4.0508396120208,4.0508396120208,4.0508396120208,98.4619832373684,4.64063085638558,4.41361198076659
"142","PPP1R14C",56.3150732989341,24.1112836536838,13.6091424666925,15.9425194714276,97.434387412833,10.7760466503912,35.2881211677252
"143","CAPSL",39.245460129049,2.84606095564934,2.84606095564934,2.84606095564934,90.3760879320512,6.30174690904503,3.69953539310088
"144","SPAG6",47.0975155100197,3.06583480598237,10.1483417783152,23.4243522947984,94.8291868703655,4.42853685752107,3.2346454803905
"145","MORN2",35.4441773487557,10.9398419169844,3.8872301569043,8.6814006156367,88.1689157539582,5.67184354159756,5.66410039470938
"146","TMEM254",48.8371816811466,22.0653839325133,22.0676594759981,17.1253213191852,98.9215954306332,34.6512235242816,28.5058392377202
"147","WDR38",61.8281117263689,6.09531226376097,6.09531226376097,6.09531226376097,90.0733547323736,7.95696536223532,8.26198306135372
"148","IFT57",39.1197040447446,14.5120824045648,11.3993719279035,22.6602711809173,96.8870254775413,8.4600872112989,7.22733021393955
"149","HIST1H2BD",45.6771135932143,9.29199202812749,9.29199202812749,9.29199202812749,102.066048040806,25.3363262354567,29.2085078428276
"150","TPPP3",36.5817763398045,0.918673626176756,2.44366802849586,19.5379183232924,105.304629931407,2.66757397229665,1.8633547862683
"151","LYZ",4.11682975194923,3.37437482327224,2.06474797219093,51.4188809029405,2.35299779644429,5.93641903821753,1.02928099712755
"152","E2F7",13.963085490568,4.34262274761724,6.93177084068516,89.7206786888968,9.51214059458834,5.64905252529159,5.13661402719565
"153","TYMS",13.1165146151719,6.26698088574193,6.26698088574193,53.0661511957621,8.88061515341665,7.4276081274598,11.2515033120251
"154","CDC20B",9.11329480245626,2.66293727090904,2.66293727090904,77.1923761108815,3.60759306468809,5.98379302456926,2.66293727090904
"155","CDK1",9.69546787162143,4.07072481363214,4.07072481363214,75.0116040883493,13.8115744232724,9.20591845341293,7.91745593936799
"156","PLK4",14.5631320099972,10.3161322637133,10.3161322637133,43.2224552739632,11.7129336165884,10.3161322637133,11.1902059459018
"157","CCNO",6.90887184827613,3.24769657411252,0.913239577194379,73.3941578756107,3.59088352932974,12.5941561678966,2.07582494135107
"158","STIL",15.4560708948985,16.5700101694919,10.867018743469,87.163409316158,15.9376910213937,5.44051100994585,7.87389067665515
"159","CDK2AP2",3.5828099790202,35.0001654085938,10.6424503969063,75.3708903003091,14.6931856045658,12.6570491399481,7.4873261183905
"160","USP13",12.0810738982119,5.19355072115667,25.9218952844595,60.4274840028445,14.5168120731166,10.3320012500328,8.02068008038112
"161","HYLS1",9.56347215670594,5.40189439622051,16.2655340031558,98.0962992665962,10.1342806765152,13.7983807526934,8.71531962850624
"162","KDELC2",17.2839576255091,2.49956543110516,11.0175019967532,53.6325842827665,11.5482594766914,10.5661446438696,7.81693469888396
"163","GGH",8.19819274515229,8.19819274515229,17.8394957195058,48.2014413304834,13.4429869194103,22.3286266627255,20.952424077615
"164","MYCL",6.24402211022879,1.41653182311522,3.54970852696595,119.287910457181,7.49459446328488,26.539246456383,7.97521910744343
"165","LRRC26",9.23587449569433,55.9909649353897,8.18951003653369,107.622728325319,9.70329401873645,14.2958425972363,4.73267867729986
"166","BTG3",4.5525533751847,3.03817539380453,8.94438576822167,121.341956965101,12.1816421349234,18.3059696604393,12.8779631456002
"167","DHFR",6.00947870115155,18.1036282164836,6.90759601564851,114.823424080865,17.3384147056,16.8986269702354,13.1737323514183
"168","SLFN11",4.70123615329424,4.70123615329424,10.9645403809711,74.4491747451725,25.8634249010096,16.3217933771125,11.0317808178128
"169","DGCR6",18.0181834265737,4.78081507330846,11.9803168235565,14.6974611494513,24.6536240241095,12.4762336195163,12.608095512888
"170","PIGW",11.9085864750917,11.9085864750917,11.9085864750917,165.383924258645,29.2058558297702,35.6558351611784,25.3140941031815
"171","PCSK6",29.0339367393481,11.4765569035003,11.4765569035003,11.4765569035003,22.9083740690198,17.2688458392276,14.7253208667573
"172","ARL4C",18.1562231443391,8.30059692423526,35.3004619341329,88.2334532295606,13.9431554851687,19.7676464559242,13.3012241353946
"173","RTTN",10.6193247265142,10.6193247265142,24.7671061367382,78.3662129339409,22.0361381287684,22.1098640023972,17.3896043028988
"174","ARNTL2",16.2798928685548,19.9371146323891,20.0330340493583,98.5099210286863,16.2974229698284,24.1730185574164,24.2818603528106
"175","TM7SF3",26.1592737461007,30.0634519599043,1.92638722903873,67.581206642088,24.9028219445495,23.9101763838246,20.2398822128715
"176","PAQR4",8.06626899528451,8.06626899528451,13.2284168502964,106.438931645696,15.8777330079539,40.2945582473657,9.03383037991926
"177","E2F8",17.5349530448495,17.5349530448495,17.5349530448495,53.9069776141286,31.6832918169625,22.3816868545009,21.7929666330718
"178","FOXN4",20.5673445136945,11.6173938976502,11.6173938976502,67.9538933707525,16.9289581923835,11.6173938976502,14.0612921199561
"179","NEK2",16.115729609243,6.69077545456005,18.8088821107075,118.637834235425,17.7183589072045,17.166978084611,23.3457921244777
"180","PSMC3",11.3927762176302,7.34993172182282,16.4358058123732,120.167872905241,25.1176905903624,28.0520496861155,28.0434221073331
"181","HELLS",17.4602118288357,17.4602118288357,40.7218849288032,77.7093899821678,21.763594572786,20.4008097480149,24.2187295165034
"182","TACC1",9.99899653403384,7.08302106158854,40.5873615733134,100.433692563786,23.2291250947668,34.4046475296985,31.1742461966512
"183","LAYN",32.2776945297937,36.3898753564308,26.8902781356268,85.8036179781322,22.9443689773721,23.7519135075249,13.4894379479513
"184","OAT",8.58209467350156,20.691215390193,16.9984615351249,135.581275920161,12.015909362079,26.8718762504719,18.7193654856986
"185","CASP3",26.5087432053287,36.6245296853902,26.7022200021952,83.5370922079553,27.3858388319821,40.3177426874565,28.5558860306224
"186","PRPS2",11.086550968105,30.2661308302985,51.7158101051824,114.570293142979,27.3514608353958,26.432260892127,24.410499538994
"187","YWHAH",10.6600267205441,58.2929789990528,35.791019348988,70.4363243656605,27.1428931031013,15.2026364148547,16.1178595789726
"188","LCK",40.9495851091004,13.0062331632132,26.5425484323665,54.4934202867003,13.0062331632132,13.0062331632132,13.0062331632132
"189","AMD1",19.3568922104392,4.70618746376502,36.1664806819843,77.5228553616956,18.7419540385761,40.3731505761071,33.7819721151821
"190","INSIG1",24.4777135771309,52.2368165401293,13.7841965739028,112.038785309538,20.9086173159862,59.4085302580944,15.132479443886
"191","CDT1",22.3366739019498,13.2551377383319,13.2551377383319,117.736190027778,22.3894250666161,35.2746532402777,18.9450819559484
"192","BAMBI",12.9294306993603,12.9294306993603,30.8052294471886,76.0188513084527,29.039583353772,41.1623435084634,15.4910613434526
